horizon_label,horizon_ticks,tp_pct,sl_pct,win_rate,exp_val_pct,trades,profit_factor
25 ticks (~3-4s),25,0.1,0.1,15.73,-0.2112,979,0.0
25 ticks (~3-4s),25,0.1,0.12,31.49,-0.191,489,0.0
25 ticks (~3-4s),25,0.1,0.15,56.83,-0.1444,271,0.0
25 ticks (~3-4s),25,0.1,0.18,59.23,-0.1503,260,0.0
25 ticks (~3-4s),25,0.1,0.2,59.69,-0.157,258,0.0
25 ticks (~3-4s),25,0.1,0.25,78.97,-0.1067,195,0.0
25 ticks (~3-4s),25,0.1,0.3,100.0,-0.03,154,inf
25 ticks (~3-4s),25,0.1,0.35,100.0,-0.03,154,inf
25 ticks (~3-4s),25,0.12,0.1,6.88,-0.2288,886,0.0
25 ticks (~3-4s),25,0.12,0.12,15.4,-0.2257,396,0.0
25 ticks (~3-4s),25,0.12,0.15,34.27,-0.1973,178,0.0
25 ticks (~3-4s),25,0.12,0.18,36.53,-0.2099,167,0.0
25 ticks (~3-4s),25,0.12,0.2,36.97,-0.2212,165,0.0
25 ticks (~3-4s),25,0.12,0.25,59.8,-0.1648,102,0.0
25 ticks (~3-4s),25,0.12,0.3,100.0,-0.01,61,inf
25 ticks (~3-4s),25,0.12,0.35,100.0,-0.01,61,inf
25 ticks (~3-4s),25,0.15,0.1,0.72,-0.2431,831,0.001
25 ticks (~3-4s),25,0.15,0.12,1.76,-0.26,341,0.001
25 ticks (~3-4s),25,0.15,0.15,4.88,-0.2796,123,0.003
25 ticks (~3-4s),25,0.15,0.18,5.36,-0.3065,112,0.003
25 ticks (~3-4s),25,0.15,0.2,5.45,-0.3251,110,0.003
25 ticks (~3-4s),25,0.18,0.1,0.0,-0.245,825,0.0
25 ticks (~3-4s),25,0.18,0.12,0.0,-0.265,335,0.0
25 ticks (~3-4s),25,0.18,0.15,0.0,-0.295,117,0.0
25 ticks (~3-4s),25,0.18,0.18,0.0,-0.325,106,0.0
25 ticks (~3-4s),25,0.18,0.2,0.0,-0.345,104,0.0
25 ticks (~3-4s),25,0.2,0.1,0.0,-0.245,825,0.0
25 ticks (~3-4s),25,0.2,0.12,0.0,-0.265,335,0.0
25 ticks (~3-4s),25,0.2,0.15,0.0,-0.295,117,0.0
25 ticks (~3-4s),25,0.2,0.18,0.0,-0.325,106,0.0
25 ticks (~3-4s),25,0.2,0.2,0.0,-0.345,104,0.0
25 ticks (~3-4s),25,0.25,0.15,0.0,-0.295,117,0.0
25 ticks (~3-4s),25,0.25,0.18,0.0,-0.325,106,0.0
25 ticks (~3-4s),25,0.25,0.2,0.0,-0.345,104,0.0
25 ticks (~3-4s),25,0.3,0.15,0.0,-0.295,117,0.0
25 ticks (~3-4s),25,0.3,0.18,0.0,-0.325,106,0.0
