2026-06-02 22:30:20.337 | INFO     | main:run_paper:525 - Starting paper trading: ['absorption', 'stacked_imbalance']
2026-06-02 22:30:20.357 | INFO     | main:run_paper:535 -   Loaded strategy: absorption
2026-06-02 22:30:20.357 | INFO     | main:run_paper:535 -   Loaded strategy: stacked_imbalance
2026-06-02 22:30:20.358 | INFO     | data.exchange_connector:connect:139 - Connecting to binance (attempt 1/5)...
2026-06-02 22:30:23.715 | INFO     | data.exchange_connector:connect:141 - Connected to binance
2026-06-02 22:30:25.642 | INFO     | data.exchange_connector:start_websocket:496 - WebSocket connected: wss://stream.binance.com:443/stream?streams=icpusdt@depth@100ms/icpusdt@aggTrade
2026-06-02 22:30:26.164 | INFO     | data.exchange_connector:_fetch_rest_snapshot:318 - Snapshot loaded: 1000b/1000a, lastUpdateId=6344079747
2026-06-02 22:30:26.165 | INFO     | data.exchange_connector:_fetch_rest_snapshot:356 - Book re-initialized. Total resyncs so far: 0
2026-06-02 22:30:37.530 | INFO     | knowledge.strategy_library:evaluate:302 - [Stacked Imbalance] SIGNAL: STRONG_BUY @ 3.0045 | SL=2.9835 TP=3.3050 | Regime=UNKNOWN | Score=4.50
2026-06-02 22:30:37.532 | WARNING  | execution.order_manager:validate_signal_with_fee_filter:245 - [OrderManager] Fee filter REJECTED: Spread 0.0333% is 3.3x expected 0.0100%. Likely illiquidity. Reject.
2026-06-02 22:30:37.533 | INFO     | main:_on_paper_order_book:661 - [stacked_imbalance] Fee filter: Spread 0.0333% is 3.3x expected 0.0100%. Likely illiquidity. Reject.
2026-06-02 22:30:37.719 | INFO     | knowledge.strategy_library:evaluate:302 - [Stacked Imbalance] SIGNAL: BUY @ 3.0005 | SL=2.9585 TP=3.6005 | Regime=UNKNOWN | Score=3.76
2026-06-02 22:30:37.721 | WARNING  | execution.order_manager:validate_signal_with_fee_filter:245 - [OrderManager] Fee filter REJECTED: Spread 0.0333% is 3.3x expected 0.0100%. Likely illiquidity. Reject.
2026-06-02 22:30:37.722 | INFO     | main:_on_paper_order_book:661 - [stacked_imbalance] Fee filter: Spread 0.0333% is 3.3x expected 0.0100%. Likely illiquidity. Reject.
2026-06-02 22:30:39.829 | INFO     | knowledge.strategy_library:evaluate:302 - [Stacked Imbalance] SIGNAL: BUY @ 2.9975 | SL=2.9415 TP=3.7975 | Regime=UNKNOWN | Score=5.96
